longitud,latitud,motivoordnombre
-68.314903,-34.613424,CAMBIO DE EQUIPO
-68.283255,-34.624525,CAMBIO DE FICHA INTERIOR Y/O EXTERIOR
-68.361762,-34.623583,CAMBIO DE FICHA INTERIOR Y/O EXTERIOR
-69.59092,-35.49595,NaN
,,MUDANZA DOMICILIO CON SERVICIO
-69.593241,-35.483548,SE ANULO
-69.580213,-35.499759,MUDANZA DOMICILIO CON SERVICIO
-69.584542,-35.479689,FINALIZA CONTRATO POR TEMPORADA
-68.228003,-34.722643,CAMBIO DE TECNOLOGIA
-68.230722,-34.72499,CAMBIO DE TECNOLOGIA
-67.688017,-34.971387,NaN
-69.014542,-33.577364,BAJA POR AUSENTE
-67.679076,-34.991915,MUDANZA
-69.121985,-33.735731,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
,,BAJA POR AUSENTE
-69.018967,-33.575732,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-67.703223,-34.968533,NaN
-67.703223,-34.968533,CAMBIO DE TECNOLOGIA
-69.576701,-35.468007,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-69.017895,-33.571416,CAMBIO DE FICHA INTERIOR Y/O EXTERIOR
-69.064628,-33.782743,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-67.51479,-35.003918,CAMBIO DE EQUIPO
-69.010915,-33.578416,NO CONFORME CON ALCANCE DE WIFI
-69.008296,-33.559736,CLIENTE CONFIRMA PROBLEMA SOLUCIONADO
-68.395272,-34.574239,SE LEVANTO U ORIENTO ANTENA
-68.359002,-34.640763,CONFIGURACION EQUIPO
-68.310055,-34.622868,CAMBIO DE EQUIPO
-67.689135,-34.943452,CONFIGURACION EQUIPO
-69.0129,-33.585211,CAMBIO DE FICHA INTERIOR Y/O EXTERIOR
-69.580981,-35.499001,BAJA POR AUSENTE
-68.310233,-34.622535,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-67.878089,-34.590093,CONFIGURACION EQUIPO
-69.044339,-33.749944,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-68.319258,-34.604553,CONFIGURACION EQUIPO
-67.655209,-34.997703,CAMBIO DE FICHA INTERIOR Y/O EXTERIOR
-67.673114,-34.984223,CONFIGURACION EQUIPO
-68.30669,-34.628512,CAMBIO DE EQUIPO
-67.883568,-34.596602,CONFIGURACION EQUIPO
-67.672743,-34.987421,CONFIGURACION EQUIPO
-68.277268,-34.581077,CAMBIO DE EQUIPO
-69.580737,-35.499775,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-69.571483,-35.479396,CAMBIO DE FICHA INTERIOR Y/O EXTERIOR
-69.272217,-33.51639,CAMBIO DE EQUIPO
-68.340203,-34.714894,BAJA POR AUSENTE
-69.5874,-35.471021,CAMBIO DE FICHA INTERIOR Y/O EXTERIOR
-69.576981,-35.504291,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-68.316153,-34.584372,CAMBIO DE FICHA INTERIOR Y/O EXTERIOR
-68.339282,-34.641358,CONFIGURACION EQUIPO
-69.584651,-35.494603,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-68.288133,-34.633054,CAMBIO DE EQUIPO
-68.316153,-34.584372,SIN SERVICIO DE TV
-69.579562,-35.500022,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-68.366933,-34.678143,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
-69.078085,-33.808027,CAMBIO DE EQUIPO
-68.390991,-34.708682,CAMBIO DE CABLE INTERIOR Y/O EXTERIOR
